name,yearClosed,reclat,reclong,image
Artegon Marketplace(2017),2017,28.4685,-81.447867,images/mall_0.jpeg
Bristol Mall(2017),2017,36.598611,-82.219444,images/mall_1.jpeg
Carousel Mall(2017),2017,34.10477,-117.29629,images/mall_2.jpeg
Diamond Run Mall(2019),2019,43.5807,-72.9638,images/mall_3.jpeg
Fiesta Mall(2018),2018,33.393014,-111.862639,images/mall_4.jpeg
Four Seasons Mall(2012),2012,45.031583,-93.403194,images/mall_5.jpeg
Hampton Towne Centre(2010),2010,43.5927,-83.8343,images/mall_6.jpeg
Hawthorne Plaza Shopping Center(1999),1999,33.92128,-118.35144,images/mall_7.jpeg
Illinois Star Centre(2018),2018,37.7485,-88.97652,images/mall_8.jpeg
Jamestown Mall(2014),2014,38.81992,-90.24726,images/mall_9.jpeg
Laguna Hills Mall(2018),2018,33.61081,-117.70709,images/mall_10.jpeg
Lincoln Mall(2018),2018,41.502222,-87.728056,images/mall_11.jpeg
Lincoln Park Shopping Center(2019),2019,42.2575,-83.1937,images/mall_12.jpeg
Mainland City Centre(2014),2014,29.406111,-95.025556,images/mall_13.jpeg
Montgomery Mall(2008),2008,32.3293,-86.246,images/mall_14.jpeg
Mounds Mall(2018),2018,40.096389,-85.655556,images/mall_15.jpeg
The Shops at National Place(2008),2008,38.8968,-77.0313,images/mall_16.jpeg
Regency Mall(2002),2002,33.440226,-82.029641,images/mall_17.jpeg
Skyview on the Ridge(2009),2009,43.1985,-77.57,images/mall_18.jpeg
The Summit(2018),2018,43.088,-78.938,images/mall_19.jpeg
Westland Mall(2017),2017,39.950556,-83.115556,images/mall_20.jpeg
Windsor Park Mall(2005),2005,29.5076,-98.3939,images/mall_21.jpeg
